                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8534,                 4.1056,                  3.881,                0.03369,                0.05504,                0.00956,                0.00261,                 2.2962,                 7.5113,                 3.4861,             0.00055271,             0.00055271,             0.00055271
                      2,                 2.5607,                 3.3132,                 3.1259,                 0.0093,                0.55509,                0.03373,                0.01176,                 2.1407,                 4.0343,                 3.6063,              0.0010962,              0.0010962,              0.0010962
                      3,                 2.1017,                 2.6806,                 2.6766,                0.26614,                0.36226,                0.23152,                0.10583,                  1.872,                  2.702,                 2.6259,              0.0016274,              0.0016274,              0.0016274
                      4,                 1.9176,                 2.3758,                 2.4561,                0.49751,                0.38519,                 0.3709,                0.18983,                    1.7,                  2.727,                 2.3413,               0.001612,               0.001612,               0.001612
                      5,                 1.7333,                 2.1189,                  2.283,                0.53993,                0.53029,                0.52159,                0.28048,                 1.5964,                 1.9704,                 2.1452,               0.001612,               0.001612,               0.001612
                      6,                 1.6561,                 1.9358,                 2.1824,                0.67943,                0.65819,                0.69744,                 0.3933,                 1.5775,                 1.6412,                 2.1932,              0.0015937,              0.0015937,              0.0015937
                      7,                 1.5779,                  1.814,                 2.0902,                0.70935,                0.72674,                0.75612,                0.47843,                 1.3063,                 1.4604,                 1.8706,              0.0015753,              0.0015753,              0.0015753
                      8,                  1.491,                 1.6921,                 1.9864,                0.61929,                0.73383,                0.75551,                0.47958,                 1.2763,                 1.4225,                 1.8245,               0.001557,               0.001557,               0.001557
                      9,                 1.4474,                 1.5937,                 1.9344,                0.72812,                0.72451,                0.78815,                0.49966,                 1.2606,                 1.3708,                 1.8172,              0.0015386,              0.0015386,              0.0015386
                     10,                 1.4051,                 1.4853,                 1.8925,                0.83369,                0.74872,                0.86049,                0.55823,                 1.2217,                 1.2438,                 1.7512,              0.0015203,              0.0015203,              0.0015203
                     11,                 1.3591,                 1.4506,                 1.8494,                0.81452,                0.82978,                0.88868,                0.60364,                 1.1537,                 1.0344,                  1.677,               0.001502,               0.001502,               0.001502
                     12,                 1.3196,                 1.3893,                 1.8165,                0.81429,                0.78239,                0.88243,                0.61441,                 1.1161,                 1.0539,                 1.6442,              0.0014836,              0.0014836,              0.0014836
                     13,                 1.2827,                 1.3102,                 1.7844,                 0.8791,                 0.8179,                0.90794,                0.63626,                 1.0902,                0.99053,                 1.6072,              0.0014653,              0.0014653,              0.0014653
                     14,                 1.2624,                 1.2632,                 1.7493,                0.92137,                0.82467,                0.92271,                0.67192,                  1.029,                0.92037,                  1.559,               0.001447,               0.001447,               0.001447
                     15,                 1.2231,                 1.2289,                 1.7208,                0.68225,                0.81584,                0.83824,                0.58471,                 1.0661,                 1.1584,                 1.5942,              0.0014286,              0.0014286,              0.0014286
